method,threshold,precision,recall,f2,missRate,tp,fp,fn,tn,aucPR
solo,0.0105,0.146651,0.995902,0.461451,0.004098,243,1414,1,773,0.877716
solo,0.215,0.398601,0.934426,0.736434,0.065574,228,344,16,1843,0.877716
solo,0.29,0.473461,0.913934,0.770560,0.086066,223,248,21,1939,0.877716
baritone,0.0105,0.126168,0.995902,0.418677,0.004098,243,1683,1,504,0.891385
baritone,0.215,0.385382,0.950820,0.735108,0.049180,232,370,12,1817,0.891385
baritone,0.29,0.485961,0.922131,0.781793,0.077869,225,238,19,1949,0.891385
soprano,0.0105,0.112546,1.000000,0.388041,0.000000,244,1924,0,263,0.891841
soprano,0.215,0.272831,0.979508,0.645248,0.020492,239,637,5,1550,0.891841
soprano,0.29,0.326897,0.971311,0.696649,0.028689,237,488,7,1699,0.891841
