method,threshold,precision,recall,f2,missRate,tp,fp,fn,tn,aucPR
solo,0.0105,0.146651,0.995902,0.461451,0.004098,243,1414,1,773,0.877716
solo,0.215,0.398601,0.934426,0.736434,0.065574,228,344,16,1843,0.877716
solo,0.29,0.473461,0.913934,0.770560,0.086066,223,248,21,1939,0.877716
baritone,0.0105,0.116157,0.995902,0.396023,0.004098,243,1849,1,338,0.894701
baritone,0.215,0.402080,0.950820,0.746941,0.049180,232,345,12,1842,0.894701
baritone,0.29,0.518265,0.930328,0.802687,0.069672,227,211,17,1976,0.894701
soprano,0.0105,0.109213,0.995902,0.379569,0.004098,243,1982,1,205,0.890025
soprano,0.215,0.298982,0.963115,0.666856,0.036885,235,551,9,1636,0.890025
soprano,0.29,0.371795,0.950820,0.725000,0.049180,232,392,12,1795,0.890025
